측정월,측정소코드,월평균값,상태값,국가기준초과여부,충남기준초과여부,1시간자료최고값,1시간자료최고일시,1시간자료최저값,1시간자료최저일시,1시간자료국가기준초과합,1시간자료충남기준초과합,정상자료합계,정상1시간평균값합계,일평균최고값,일평균최고일,일평균최저값,일평균최저일,일평균국가기준초과합계,일평균충남기준초과합계,일평균정상상태합,8시간평균최고값,8시간평균최고일,8시간평균최저값,8시간평균최저일,8시간평균국가기준초과합,8시간평균충남기준초과합,8시간평균정상상태합,생성일시,월유효가동률,데이터율
2019-12-01,성거읍,23.2,정상자료,0,0,27,414,10,607,0,0,744,0,0,17244,24.6,16,17.2,6,0,0,31,0,,0,,0,0,0,100
2019-12-01,성거읍,69.5,정상자료,0,0,98,3008,24,512,0,0,744,0,0,51744,86.7,24,51.3,5,0,0,31,0,,0,,0,0,0,100
2019-12-01,성거읍,69,정상자료,0,0,502,212,0,100,0,0,744,0,0,51492,104,6,7,17,0,0,31,0,,0,,0,0,0,100
2019-12-01,신방동,45,측정기 시험가동 중,0,0,111,2412,10,3109,1,0,213,529,2,9658,77,24,19,31,0,0,9,0,,0,,0,0,0,99.07
2019-12-01,신방동,36,측정기 시험가동 중,0,0,87,2412,7,3116,84,0,211,529,4,7497,64,24,13,31,4,3,9,0,,0,,0,0,0,98.14
2019-12-01,신방동,0.016,측정기 시험가동 중,0,0,0.039,2623,0.004,2306,0,0,215,529,0,3.524,0.028,31,0.006,24,0,0,9,0.037,27,0.011,24,0,0,9,100
2019-12-01,신방동,0.5,측정기 시험가동 중,0,0,1.2,2402,0.3,2621,0,0,215,529,0,116.3,0.9,24,0.3,31,0,0,9,1,24,0.4,30,0,0,9,100
2019-12-01,신방동,0.003,측정기 시험가동 중,0,0,0.006,2402,0.002,2300,0,0,215,529,0,0.595,0.003,23,0.002,29,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,0.023,측정기 시험가동 중,0,0,0.055,2416,0.003,3102,0,0,215,529,0,4.983,0.035,24,0.01,31,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,0.043,측정기 시험가동 중,0,0,0.156,2411,0.006,3102,0,0,215,529,0,9.149,0.09,24,0.016,31,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,0.019,측정기 시험가동 중,0,0,0.109,2411,0.003,2300,0,0,215,529,0,4.18,0.054,24,0.006,29,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,1.3,측정기 시험가동 중,0,0,4.2,3100,0.2,2305,0,0,216,528,0,289.1,2.5,31,0.5,24,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,0.8,측정기 시험가동 중,0,0,7.2,3014,-7.8,3108,0,0,216,528,0,165.8,3.9,30,-5.7,31,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,14.7,측정기 시험가동 중,0,0,23.1,2416,5.1,3108,0,0,216,528,0,3174.7,17.3,23,8.8,31,0,0,9,0,,0,,0,0,0,100
2019-12-01,신방동,71.9,측정기 시험가동 중,0,0,97.8,2308,29.3,2515,0,0,216,528,0,15538.7,84.9,24,59.9,28,0,0,9,0,,0,,0,0,0,100
2019-12-01,공주,40,정상자료,0,0,207,1113,9,1915,16,0,739,5,0,29445,88,10,17,31,0,1,31,0,,0,,0,0,0,100
2019-12-01,공주,32,정상자료,0,0,147,1113,8,3112,258,0,719,5,20,23183,69,10,13,31,11,8,31,0,,0,,0,0,0,97.29
2019-12-01,공주,0.017,정상자료,0,0,0.057,1016,0.002,1502,0,0,739,5,0,12.796,0.032,11,0.004,25,0,0,31,0.047,10,0.009,25,0,0,31,100
2019-12-01,공주,0.4,정상자료,0,0,0.9,1022,0.2,204,0,0,739,5,0,321.9,0.7,24,0.3,2,0,0,31,0.8,24,0.3,5,0,0,31,100
2019-12-01,공주,0.003,정상자료,0,0,0.006,1910,0.002,304,0,0,739,5,0,2.186,0.004,6,0.002,3,0,0,31,0,,0,,0,0,0,100
2019-12-01,공주,0.015,정상자료,0,0,0.041,1022,0.002,3100,0,0,739,5,0,11.049,0.029,25,0.005,31,0,0,31,0,,0,,0,0,0,100
2019-12-01,공주,0.023,정상자료,0,0,0.116,1008,0.004,3100,0,0,739,5,0,17.135,0.05,25,0.007,31,0,0,31,0,,0,,0,0,0,100
2019-12-01,공주,0.008,정상자료,0,0,0.078,1008,0.001,1402,0,0,739,5,0,6.092,0.021,25,0.002,14,0,0,31,0,,0,,0,0,0,100
2019-12-01,공주,0.9,정상자료,0,0,3.1,3021,0.2,104,0,0,744,0,0,666.2,1.7,31,0.6,1,0,0,31,0,,0,,0,0,0,100
