�ð�,1�����ǳ��,10�����ǳ��
2021-08-04 16:02,0,0
2021-08-04 16:12,133,94
2021-08-04 16:22,48.1,114
2021-08-04 16:32,44,40
2021-08-04 16:42,48.5,48
2021-08-04 16:52,38.5,28
2021-08-04 17:02,191,29
2021-08-04 17:12,6.2,16
2021-08-04 17:22,311.8,27
2021-08-04 17:32,12.8,18
2021-08-04 17:42,72.3,38
2021-08-04 17:52,66.2,51
2021-08-04 18:02,40.8,36
2021-08-04 18:12,39.8,49
2021-08-04 18:22,3.9,40
2021-08-04 18:32,29.9,28
2021-08-04 18:42,29.6,23
2021-08-04 18:52,121.2,38
2021-08-04 19:02,84.1,91
2021-08-04 19:12,75.6,98
2021-08-04 19:22,126.8,114
2021-08-04 19:32,54.6,137
2021-08-04 19:42,98,84
2021-08-04 19:52,5.3,40
2021-08-04 20:02,45.3,337
2021-08-04 20:12,300,347
2021-08-04 20:22,253.5,284
2021-08-04 20:32,283,266
2021-08-04 20:42,306,288
2021-08-04 20:52,293.9,309
2021-08-04 21:02,279,302
2021-08-04 21:12,294,284
2021-08-04 21:22,288.1,297
2021-08-04 21:32,269.3,288
2021-08-04 21:42,292.9,272
2021-08-04 21:52,249,281
2021-08-04 22:02,279.3,259
2021-08-04 22:12,259,276
2021-08-04 22:22,279.1,262
2021-08-04 22:32,276.5,270
2021-08-04 22:42,258.8,268
2021-08-04 22:52,269.8,269
2021-08-04 23:02,282.8,274
2021-08-04 23:12,262.6,273
2021-08-04 23:22,252.3,275
2021-08-04 23:32,242.8,257
2021-08-04 23:42,243.3,249
2021-08-04 23:52,253,254
2021-08-05 0:02,262.9,249
2021-08-05 0:12,256,262
2021-08-05 0:22,245,253
2021-08-05 0:32,248,246
2021-08-05 0:42,278,248
2021-08-05 0:52,241.1,268
2021-08-05 1:02,257,260
2021-08-05 1:12,246.1,260
2021-08-05 1:22,254.1,252
2021-08-05 1:32,273,260
2021-08-05 1:42,237,259
2021-08-05 1:52,276.9,251
2021-08-05 2:02,283.1,268
2021-08-05 2:12,273.2,289
2021-08-05 2:22,307,296
2021-08-05 2:32,308,302
2021-08-05 2:42,308,308
2021-08-05 2:52,309,309
2021-08-05 3:02,286,306
2021-08-05 3:12,297,292
2021-08-05 3:22,274,294
2021-08-05 3:32,286,284
2021-08-05 3:42,280,292
2021-08-05 3:52,295,289
2021-08-05 4:02,304.9,303
2021-08-05 4:12,306.9,294
2021-08-05 4:22,298,302
2021-08-05 4:32,293,294
2021-08-05 4:42,309,290
2021-08-05 4:52,313,305
2021-08-05 5:02,305,300
2021-08-05 5:12,289.5,306
